index,agr,ser,ind,lab,cap,inctax,vat,protax,hh,gov,inv,exp,TOTAL
agr,34.80343322498912,7.330928797964034,48.87376331257644,-,-,-,-,-,76.4243079803189,0,14.87005589334412,14.578656598722317,
ser,12.040734072796425,428.93410058449734,152.96796052169094,-,-,-,-,-,592.3747160350331,214.43046492234578,287.5322130265569,85.21154896883026,
ind,17.224521626538838,226.11393358174885,330.5361412050463,-,-,-,-,-,310.26902026931265,8.971237560804246,141.8800749495052,271.4547819548193,
lab,4.49278405,337.67090382,96.41408064,-,-,-,-,-,-,-,-,-,
cap,120.26235799,632.10587489,189.58010763,-,-,-,-,-,-,-,-,-,
inctax,-,-,-,-,-,-,-,-,96.8755391141,-,-,-,
vat,-0.5230456689055937,45.18881906900908,139.59357301179222,-,-,-,-,-,-,-,-,-,
protax,-3.062249352464258,6.489934044130157,1.4589747641022492,-,-,-,-,-,-,-,-,-,
hh,-,-,-,438.57776851,941.94834051,-,-,-,-,-,-,-,
gov,-,-,-,-,-,96.8755391141,184.2593464118957,4.886659455768148,-,-,-,-,
sav,-,-,-,-,-,-,-,-,304.5825256212354,62.61984249861381,-,77.07997574955672,
imp,11.64260986496041,89.65724334440114,347.025110062567,-,-,-,-,-,-,-,-,-,
TOTAL,,,,,,,,,,,,,-
